Headline,Body ID,Stance,Agree,Disagree,Discuss,Unrelated
a minnesota man was jailed simply for possessing a windmill on his property. see example( s ),5990,discuss,0.30388285000000004,0.04614357585,0.337714058,0.31225952650000005
"anyone bringing supplies to dapl protesters at the standing rock indian reservation could be fined $1,000 for the attempt, according to the morton county sheriff's department. see example( s )",5991,agree,0.49250306,0.1365868885,0.2482556215,0.12265439535999999
"anyone bringing supplies to dapl protesters at the standing rock indian reservation could be fined $1,000 for the attempt, according to the morton county sheriff's department. see example( s )",5992,agree,0.510789665,0.0234399207,0.428734845,0.03703552358115
"apple's purge of ""fake news"" apps from the app store started with the removal of breitbart news in november 2016. see example( s )",5993,discuss,0.05611108150000001,0.39546190695,0.52240891,0.02601812169775
"apple's purge of ""fake news"" apps from the app store started with the removal of breitbart news in november 2016. see example( s )",5994,unrelated,0.34759351,0.1223006735,0.07660774000000001,0.45349812
the dakota access pipeline (dapl) was re-routed through the standing rock reservation after bismarck's mostly-white residents refused to allow it near their water supply. see example( s ),5995,discuss,0.17005790199999998,0.0477686515,0.7248747899999999,0.0572986534235
trump arranged a deal with carrier that kept a thousand jobs in the united states. see example( s ),5996,agree,0.456755885,0.049673722,0.4216291465,0.07194131604500001
trump arranged a deal with carrier that kept a thousand jobs in the united states. see example( s ),5997,discuss,0.46806807200000006,0.027774867999999998,0.50003508,0.0041219815235
trump arranged a deal with carrier that kept a thousand jobs in the united states. see example( s ),5998,discuss,0.3868682299999999,0.08096445,0.4462575100000001,0.08590976389999999
"protests could permanently halt the dakota access pipeline by blocking construction until 1 january 2017, when the project's contracts expire. see example( s )",5999,discuss,0.184472755,0.0412258235,0.42825439,0.34604697865
"protests could permanently halt the dakota access pipeline by blocking construction until 1 january 2017, when the project's contracts expire. see example( s )",6000,discuss,0.248343805,0.175592888,0.4316166300000001,0.14444668511
"protests could permanently halt the dakota access pipeline by blocking construction until 1 january 2017, when the project's contracts expire. see example( s )",6001,agree,0.41878869,0.058698473149999986,0.34990234800000003,0.1726104706005
"donald trump owns a stake in energy transfer partners (the builders of the dakota access pipeline) as well as phillips 66, an affiliated company. see example( s )",6002,unrelated,0.29380455,0.0718612465,0.29830553000000004,0.33602865501999996
"donald trump owns a stake in energy transfer partners (the builders of the dakota access pipeline) as well as phillips 66, an affiliated company. see example( s )",6003,unrelated,0.105963684,0.036092386350000005,0.4111735145,0.44677040200265006
"donald trump owns a stake in energy transfer partners (the builders of the dakota access pipeline) as well as phillips 66, an affiliated company. see example( s )",6004,unrelated,0.223343915,0.101746925,0.208509865,0.46639924
"donald trump owns a stake in energy transfer partners (the builders of the dakota access pipeline) as well as phillips 66, an affiliated company. see example( s )",6005,discuss,0.209403365,0.2403844587,0.45205200000000006,0.09816016569
"donald trump owns a stake in energy transfer partners (the builders of the dakota access pipeline) as well as phillips 66, an affiliated company. see example( s )",6006,discuss,0.207702385,0.132887828835,0.423448622,0.23596118372400002
"colorado has offered free birth control for five years, leading to: a 40 percent drop in unintended pregnancy, a 42 percent drop in abortions, and millions of dollars in healthcare savings. see example( s )",6007,unrelated,0.070448814,0.02692942398,0.023312930449999998,0.8793088
"colorado has offered free birth control for five years, leading to: a 40 percent drop in unintended pregnancy, a 42 percent drop in abortions, and millions of dollars in healthcare savings. see example( s )",6008,agree,0.629479475,0.11151029720000001,0.17550845,0.0835018016
"colorado has offered free birth control for five years, leading to: a 40 percent drop in unintended pregnancy, a 42 percent drop in abortions, and millions of dollars in healthcare savings. see example( s )",6009,agree,0.7372089150000001,0.0519735525,0.152203845,0.058613703883999994
"the bbc used computer graphics to capture the harrowing ""iguana vs. snake"" chase in ""planet earth 2.""",6010,disagree,0.34610787,0.384758642,0.1005580715,0.168575427
michigan is about to sell 100 million gallons of groundwater to nestlé for $200.,6011,agree,0.571505425,0.0866291773,0.111023289,0.23084211351
michigan is about to sell 100 million gallons of groundwater to nestlé for $200.,6012,agree,0.782922,0.052151245,0.047466524,0.11746021885475
michigan is about to sell 100 million gallons of groundwater to nestlé for $200.,6013,agree,0.47323951,0.038471607000000005,0.184690994,0.3035978737
a trump staffer was convicted on ten counts of felony election fraud in november 2016. see example( s ),6014,unrelated,0.20641710105,0.0308184856965,0.03981574435,0.72294868
a trump staffer was convicted on ten counts of felony election fraud in november 2016. see example( s ),6015,agree,0.66050088,0.065723442,0.26341343500000003,0.0103622322
a trump staffer was convicted on ten counts of felony election fraud in november 2016. see example( s ),6016,agree,0.50086327,0.08926846000000001,0.34944382,0.060424455499999995
"vintage pyrex contains unsafe levels of lead, making it dangerous for any sort of food serving or storing purpose. see example( s )",6017,discuss,0.182226945,0.271538975,0.4152916050000001,0.13094249500000002
"vintage pyrex contains unsafe levels of lead, making it dangerous for any sort of food serving or storing purpose. see example( s )",6018,unrelated,0.061815902,0.017079538499999998,0.096782946725,0.8243215500000001
"vintage pyrex contains unsafe levels of lead, making it dangerous for any sort of food serving or storing purpose. see example( s )",6019,unrelated,0.269778065,0.043738615999999994,0.262889575,0.42359373
"vintage pyrex contains unsafe levels of lead, making it dangerous for any sort of food serving or storing purpose. see example( s )",6020,unrelated,0.051833265499999996,0.007459301624999999,0.104212311725,0.8364950500000001
"vintage pyrex contains unsafe levels of lead, making it dangerous for any sort of food serving or storing purpose. see example( s )",6021,unrelated,0.076363309,0.0065348008,0.342513830871,0.57458801
"vintage pyrex contains unsafe levels of lead, making it dangerous for any sort of food serving or storing purpose. see example( s )",6022,unrelated,0.22879509,0.013510951,0.31076790550000005,0.4469260735
"thomas edison’s mother lied about the contents of a letter from her son’s school informing her that the school had expelled him for “mental deficiencies.” instead, she told the boy the letter said he was a genius who would be better off being homeschooled. see example( s )",6023,discuss,0.258658425,0.0525188163,0.3672472405,0.32157549399999996
"thomas edison’s mother lied about the contents of a letter from her son’s school informing her that the school had expelled him for “mental deficiencies.” instead, she told the boy the letter said he was a genius who would be better off being homeschooled. see example( s )",6024,discuss,0.08354202499999999,0.21652518225,0.47769715,0.22223565216999996
president trump has the right and means to send unblockable text mesage to all american cellular phones.,6025,disagree,0.26498034000000004,0.34226190549999996,0.325786248,0.06697148630000001
president trump has the right and means to send unblockable text mesage to all american cellular phones.,6026,disagree,0.3020361625,0.428817733,0.2501435465,0.019002529515
president trump has the right and means to send unblockable text mesage to all american cellular phones.,6027,unrelated,0.21528157,0.061443341,0.16883903749999998,0.55443603
ace hardware is refusing to sell propane to dakota access pipeline protesters. see example( s ),6028,agree,0.7857063799999999,0.0887769657,0.064284009,0.06123265253450001
canadian prime minister justin trudeau is fidel castro’s son.,6029,unrelated,0.15334321,0.06825761150000001,0.38917688853,0.38922230049999995
canadian prime minister justin trudeau is fidel castro’s son.,6030,unrelated,0.03691458985207499,0.060783585915589994,0.0008038254273249999,0.9014979999999999
canadian prime minister justin trudeau is fidel castro’s son.,6031,discuss,0.157286978,0.19105667035,0.39083429,0.2608220875
canadian prime minister justin trudeau is fidel castro’s son.,6032,discuss,0.318003395,0.0536740754,0.4371158047500001,0.19120673415370001
canadian prime minister justin trudeau is fidel castro’s son.,6033,unrelated,0.11497216953136001,0.28073373240133503,0.02055394300175,0.583740125
canadian prime minister justin trudeau is fidel castro’s son.,6034,unrelated,0.13118385506889998,0.039558300878900006,0.0019301522085000001,0.827327675
canadian prime minister justin trudeau is fidel castro’s son.,6035,agree,0.415495895,0.0252412417,0.41404448619999995,0.14521840827649998
canadian prime minister justin trudeau is fidel castro’s son.,6036,unrelated,0.1311838431482,0.039558194656170005,0.0019250573927,0.827332855
canadian prime minister justin trudeau is fidel castro’s son.,6037,unrelated,0.0013649090666,0.00498396795453,1.0724801e-05,0.99364038
canadian prime minister justin trudeau is fidel castro’s son.,6038,agree,0.5062072200000001,0.08994342150000001,0.0425313205,0.36131802
